name,price,store,url
OUKITEL F150 B2021 Черный,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/oukitel/smartfon_oukitel_f150_b2021_chernyy_oukitel_f150_black-2748084.html
ZTE Blade A51 lite 2/32Gb Зеленый,7 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/zte/smartfon_zte_blade_a51_lite_2_32gb_zelenyy_zte_a51.lite.gn-2768952.html
Samsung Galaxy M22 128Gb Белый,18 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_m22_128gb_belyy_sm_m225fzwgser-2825761.html
Xiaomi 11 Lite 5G NE 8/128Gb Белый,29 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11_lite_5g_ne_8_128gb_belyy_x35735-2858643.html
Infinix HOT 11S NFC 4/64GB Черный,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/infinix/smartfon_infinix_hot_11s_nfc_4_64gb_chernyy_4895180776120-2902088.html
VIVO Y1S 2/32GB Оливково-черный,8 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vivo/smartfon_vivo_y1s_2_32gb_olivkovo_chernyy_y1s_olive_black_vivo_2015-2250333.html
Apple iPhone 12 64GB Чёрный,64 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_12_64gb_chernyy_mgj53ru_a-2328447.html
ITEL A25 Фиолетовый,4 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/itel/smartfon_itel_a25_fioletovyy_itl_a25_grpu-2344154.html
VIVO Y31 4/64GB Чёрный асфальт,14 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vivo/smartfon_vivo_y31_4_64gb_chernyy_asfalt_y31_racing_black_v2036_464-2821377.html
OUKITEL WP12 Pro Черный,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/oukitel/smartfon_oukitel_wp12_pro_chernyy_oukitel_wp12_pro_black-2833841.html
Xiaomi 11 Lite 5G NE 8/128Gb Синий,29 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11_lite_5g_ne_8_128gb_siniy_x35673-2857256.html
Xiaomi 11 Lite 5G NE 8/128Gb Черный,29 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11_lite_5g_ne_8_128gb_chernyy_x35688-2857258.html
